database,keyword,title,authors,publisher,journal,issue,year,link
RISS,공간 디자인,팬데믹 상황에서 작품 거리두기를 활용한 전시공간디자인연구- 서울도시건축전시관 ‘다르게 보다’전 전시공간디자인을 중심으로 -,이태현,한국공간디자인학회,2025,한국공간디자인학회논문집,2025,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c6b68b3dc98a388cc85d2949c297615a&keyword=공간 디자인
RISS,공간 디자인,미래자동차의공간디자인보호 범위에 대한 검토 - 부정경쟁방지법을 중심으로 -,박경신,한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b03bfc5d93f7c424884a65323211ff0&keyword=공간 디자인
RISS,공간 디자인,도시공간디자인제고를 위한 통합디자인에 대한 고찰,"이서화,장영호,김주연",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b03bfc5d93f7c42b7998d826d417196&keyword=공간 디자인
RISS,공간 디자인,상징적 연계성을 적용한 복합공간실내디자인연구 - 축산업협동조합 청사 실내공간을 중심으로 -,이지현,한국공간디자인학회,2022,한국공간디자인학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=da22aac71dc73ffc6aae8a972f9116fb&keyword=공간 디자인
RISS,공간 디자인,기업 복합문화공간에서 나타나는 바이오필릭디자인특성 연구,"방영현,민경훈",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e7dc618cafb64b3d47de9c1710b0298d&keyword=공간 디자인
RISS,공간 디자인,노인의 인지능력 개선을 위한공간의디자인방향성 제시,오미현,한국공간디자인학회,2024,한국공간디자인학회논문집,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3deb92c5c7dd6264b36097776a77e665&keyword=공간 디자인
RISS,공간 디자인,범죄예방디자인원리를 이용한 노후 된 주거지역의공간계획 연구 - 홍성군을 중심으로 -,류혜지,한국공간디자인학회,2022,한국공간디자인학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dbd9314869d1a40f6aae8a972f9116fb&keyword=공간 디자인
RISS,공간 디자인,에이징 인 플레이스(Aging in Place)를 위한 커뮤니티 공용공간의  고령 친화디자인에 관한 연구 -상하이 도심 지역 거주 노인을 중심으로-,"라결여,김경숙",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=38e6d10495d0dfa8b7998d826d417196&keyword=공간 디자인
RISS,공간 디자인,공간브랜드아이덴티티의 어포던스디자인요소에 관한 연구 -한국 화장품 매장공간을 중심으로-,"한야람,한석원",한국공간디자인학회,2024,한국공간디자인학회논문집,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ba169658c311f68a7f7a54760bb41745&keyword=공간 디자인
RISS,공간 디자인,서사적 공공공간을 위한디자인주체의 참여 유형에 관한 연구,"노욱,서동진,김주연",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=efde5dfc0616f8a54884a65323211ff0&keyword=공간 디자인
